graph_model,sybil_size,overlap,rep,tau,w_eff,r_eff,sampled
erdos_renyi,10,0.5,22,0.4384261749341072,4.384261749341071,4.384261749341071,False
erdos_renyi,10,0.5,23,0.43643005252937084,4.364300525293708,4.364300525293708,False
erdos_renyi,10,0.5,24,0.4339815074245059,4.33981507424506,4.33981507424506,False
erdos_renyi,10,0.5,25,0.43806278358403905,4.38062783584039,4.38062783584039,False
erdos_renyi,10,0.5,26,0.4386043739149206,4.386043739149206,4.386043739149206,False
erdos_renyi,10,0.5,27,0.4384706235643153,4.384706235643153,4.384706235643153,False
erdos_renyi,10,0.5,28,0.43836295679167037,4.383629567916704,4.383629567916704,False
erdos_renyi,10,0.5,29,0.43807805811465117,4.380780581146512,4.380780581146512,False
erdos_renyi,10,0.7,0,0.300091982267365,3.0009198226736498,3.0009198226736498,False
erdos_renyi,10,0.7,1,0.30015389434224415,3.0015389434224415,3.0015389434224415,False
erdos_renyi,10,0.7,2,0.3000533910040619,3.000533910040619,3.000533910040619,False
erdos_renyi,10,0.7,3,0.29653555475585713,2.9653555475585716,2.9653555475585716,False
erdos_renyi,10,0.7,4,0.3002043039749177,3.002043039749177,3.002043039749177,False
erdos_renyi,10,0.7,5,0.30018439833122645,3.0018439833122645,3.0018439833122645,False
erdos_renyi,10,0.7,6,0.30030776996168174,3.003077699616817,3.003077699616817,False
erdos_renyi,10,0.7,7,0.2964490795131418,2.964490795131418,2.964490795131418,False
erdos_renyi,10,0.7,8,0.2963977033240849,2.963977033240849,2.963977033240849,False
erdos_renyi,10,0.7,9,0.3002370937809057,3.002370937809057,3.002370937809057,False
erdos_renyi,10,0.7,10,0.3002266396192603,3.0022663961926033,3.0022663961926033,False
erdos_renyi,10,0.7,11,0.30040058779870493,3.0040058779870495,3.0040058779870495,False
erdos_renyi,10,0.7,12,0.298453442969805,2.9845344296980505,2.9845344296980505,False
erdos_renyi,10,0.7,13,0.3002543452712758,3.002543452712758,3.002543452712758,False
erdos_renyi,10,0.7,14,0.29847085883309654,2.9847085883309656,2.9847085883309656,False
erdos_renyi,10,0.7,15,0.30035156480201697,3.0035156480201697,3.0035156480201697,False
erdos_renyi,10,0.7,16,0.30016495102523266,3.0016495102523266,3.0016495102523266,False
erdos_renyi,10,0.7,17,0.30024028002101233,3.002402800210123,3.002402800210123,False
erdos_renyi,10,0.7,18,0.30030210102826005,3.0030210102826005,3.0030210102826005,False
erdos_renyi,10,0.7,19,0.3002877830209507,3.002877830209507,3.002877830209507,False
erdos_renyi,10,0.7,20,0.30022236908501343,3.0022236908501343,3.0022236908501343,False
erdos_renyi,10,0.7,21,0.294568089389451,2.94568089389451,2.94568089389451,False
erdos_renyi,10,0.7,22,0.2985518227909194,2.985518227909194,2.985518227909194,False
erdos_renyi,10,0.7,23,0.2984134100104817,2.984134100104817,2.984134100104817,False
erdos_renyi,10,0.7,24,0.29455801363055,2.9455801363055,2.9455801363055,False
